title,rate
naujawan ladke aur ladkiyan walihana raqs_karte to gorey bhi be saakhti ke aalam_mein in ka sath dete,1
england aamad o raft ka_silsila shuru_hua to aik pakistani nasaad british ladki ko dil de bethe,1
is_tarah wo aaj_tak sab ke lala he hain,1
yeh_aezaaz ab_tak attaullah_esakhelvi ke_paas he hai ke recording aur farokht_hone wale cassettes mein sab_se ziyada in ki singing ke he hote_hain,1
inho_ne hukomat_e pakistan se_tamgha e_imtiaz hasil_karne ke_sath malika british se life_time achievement_award bhi hasil_kiya hai,1
mein in ka_naam sab_se ziyada audio albums recorder karane wale singer ke_hawale se guinness_book of_world record mein bhi darj_tha,1
torkham se karachi tak truck drivers ka_safar un ki_awaaz ke_sath hota_hai,1
president ayyab khan mohtarma_fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks_ke aqbii hisson par bani nazar_aati hain_lekin attaullah_esakhelvi mulk ke wo wahid artist hain_jin se_wabistegi ka_izhaar buses aur trucks_ke piche tasweer banwa kar bhi kiya_jata hai,1
she played a fantastic role in the drama_serial a aangan_terha a with shakeel_siddiqui and saleem_nasir late,1
bushra_ansari received many more different prizes and awards in her life,1
she received an award of pride_of performance and women life achievement_award from benazir_bhutto,1
she won_the ptv award and lux style award also,1
bushra_ansari performed interesting role in the film aabhi to main_jawan hona from geo_tv,1
yeh beyk_waqt actress singer host comedian and drama nigaar ke taur_par pehchani_jati hain,1
inka har andaaz munfarid aur har roop judagana hai,1
sanjeeda acting comedy parody singing hosting_aur ab drama nigari,1
inho_ne har field_mein apna_loha manwaya hai,1
jis se in ki do betiyan_hain,1
intehai masroof aur mashoor fankara hone ke_bawajood inho_ne aik biwi aur maa ka role pori zimmedari se adaa_kiya,1
bushra apni_family se bohat ziyada attached hain aur fursat ka tamam waqt_ghar walon ke_sath he guzarti hain,1
career bushra_ansari sirf_saal ki_umer mein he ptv ke children music show kalbon_ki mala ki regular performer ban_gai thin,1
to farooq qiaser ne inhe apne show kalliyan ke_liye muntakhib_kiya,1
is ke_ilawa wo show ke_deegar roles ke_liye bhi songs gaya karti_thin,1
bunyadi_taur par yeh bahon ka show tha lekin ise har_umar ke nazreen barhe shauq se dekha karte_the,1
bushra ne sab_se pehle iqbal ansari ke aik drama mein acting ke_johar dikhaey,1
lekin bushra ko sab_se ziyada_shohrat anwar_maqsood ke show shosha se mili,1
jis mein bushra ne bijli ka role_adaa kar ke meyla loot liya,1
yeh character itna popular hua ke jab kabhi bushra_ansari kisi show ke_silsile mein beyron e_mulk jati to in se bijli ka character karne ki_farmaiysh ki jati,1
bushra_ansari ka aik aur aeham show aangan_terha hai jise anwar_maqsood ne likha aur us mein inho_ne shakeel_siddiqui aur saleem_nasir marhoom ke_hamrah yadgar performance di,1
comedy shows ki bat ho to sab_se pehle ptv ki_tareekh ke maqbool_tareen show fifty fifty ka_naam zehan_mein aata_hai,1
is show ko maqboliyat ki_bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal_tha to bushra_ansari ne bhi apni parodies ke_zariye is show ko kamiyab_banane mein koi kasar na chori,1
inho_ne chehre ke tasurrat aur body language ke_zariye in roles mein jaan_daal di,1
bushra_ansari ne har umer ke role_adaa kiye_hain jin_mein young udherh aur old age sab he shamil_hain,1
personality bushra_ansari ko sirf acting mein he malka hasil nahi_bal key_eh aik_shandar shakhsiyat ki bhi malik hain,1
yeh guzishta_saal se_mini screen_par apni_salahiyaton ke_johar dikha_rahi hain aur din_ba din in ke har sitaron_ki tadad mein_izafa hota ja_raha hai,1
kyun_ke wo_janti hain ke waqt ke_sath sath apne_kaam mein kya tabdeeli lai ja_sakti hai,1
dilchasp harkaat dilkash personality aur khobsurat chehre ki malik bushra_ansari har_umar ke nazreen mein popular hain,1
chand maah qabal inho_ne geo_tv ke show dolly ki aaegi baraat mein saima chaudhry ka role_play kar ke is serial ko mazeed dilchasp bana_diya,1
yaar yeh be fitt ha,1
ap to hero ho autograph do na dd,1
autograph milay_ga zroooor milay_ga,1
hahahaha ye acha hai p,1
apka zehr mjh_pe b nae axr kry_ga i hv antizehr of ur zehr dd,1
haahahhan zrooryar mjhe acha_lgta jb yeh ese post krte,1
hahahaaqasmay dil ki_awaz h meri ye page d,1
aala d_d,1
app k dil ki bhi,1
buht achi_bat kahi he,1
uff yeh apki paakbaaz soch,1
cara jvd bilkul_aisa hi kuch main apko_b kehna chahti hn d,1
hahaha wah saen wah ddd,1
baari ap to famous_ho gai hain ay,1
hahaha ye time ni nikal skta u_r too demanding girl,1
khushi se hori hy itne likes dekh k,1
ufff dono kis trha parri hain d_d chalo na krwao p,1
akhir student kis k hnnnnnddd,1
ji_bilkul paisaaa wasooool comments,1
aap tau millionaire ban jaen gee,1
pskistani jawano lagatay raho imran_khan k doz aik_din number_one per aa_jao gaytabdeeli,1
hahaha tum to hurr jaghaa famous_ho,1
caption khass ap ky liye d,1
saas bahu ka rishta nawaz_sharif r mamnoon hussain ko bhi peeche chore de ddd,1
apnay kharchay khudd uthaa saknay wali independent aurat ko jo bghair_kisi py depend kiye aur bghair_kisi ki faaltu bakwaas sunay k g mein tou_boht azeem aadmi hun k o biwi tumhara kharcha uthaa rha_hun izzat k_sath zindagi guzaar rhi ho ussay kehtay_hain kaamyaab aurat,1
meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k_lie kisi mrd ki mohtaj na ho,1
talaash jaari rakhein aap aik_din kamyaab aurat banein giddd,1
inshallah_hum dono kaamyaab rhen apne naik iraadon meindddtune tou shiad dhond liyaddd ? ya abhi bhi talaash jaaridd,1
pta_ni kahan hoty_hain aese kamyab_mard d,1
hehehehehe unmarried hona_chahiye bs d,1
oooppss to phle bolti na dash mjhe lga meri pysri dost mere_liye soch_rhi hai dd_? ps chal tu rakh lenad,1
kamiyab aurat bnna_chahti hun_meri sadgi dikh mai kya chahti_hun dd,1
mai khud kamyab bnna_chahti ho samw khwab hai hmare yad nae tmed,1
meri jesi kamiyabiyan na karna tum_log go for_a mzeed rich bitch !_! ad,1
mil_jae ga dnt worry,1
dekho wo hum_ny reject krdia na ye b kaamyabi hi hoti haid,1
k mn kia hoga yr xd,1
abhi o party shoro hoi he,1
jo wife ko apni pay k_mutabiq kharcha krae wohi kamyab_mard hy,1
hahaha kal ki debate k_baad kamyab_aurat ka award aap_ko jata_hai,1
hahahaha_shukria shukria,1
yani hum_dono kamyab hain d_? psd_? ps,1
kyn k tu khud ek kamyab_aurat hai lol apni mehnat se d_? psd_? ps,1
mere_pas kamyaab maa hai dddd,1
yeh tou hai mard apni biwi ki_kismat say hi kamaata hai,1
hum hun_gay kamyab aik_din,1
mene dhoundh lia akhir dd dday i d i_m lucky dd_?,1
hum honga kamyab aiek dindddd,1
allah_tallah hama b aisa_hi banda da dddd,1
hum no e kamyab hain dddd,1
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya haid ?_ps,1
hum kaamiyab hein d,1
jab dono khameeyab haan tou_bari kushe ki bat_ha jasy men khmeeyab mard,1
allah khair kay ga,1
alhamdulillah me kamyab_aurat,1
bilkul_sahi kaha,1
bhai app kamyab hain dd,1
although ham nay apny kharchay kam_kr liay han hahahahahahah,1
mashaallah_allah pak sb k_leay acha keray ameen,1
ameen han sana no extravagence,1
bt dil ko achi_lgi,1
point pe hy puray d,1
ye hoti_hai kamyabi d,1
koi ni perfectly imperfct tou_mil jye gad,1
mil_jaye ga apna dhondh ln phir tmhry leay b d,1
haha acha chlo koshish krna dono bhai hon aur bara vala mrad ?_ps,1
haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g d,1
har pal har dum azam hmarasb sy perfct jo vo shakhs hmaradddd,1
lkn phr_b roub tou_bari ka hi hotad,1
yr wesy mil k sb ko set kr_dyn gyn d,1
ptq ni ab set krengy ya khud set hongyd,1
bs sai wa swery fir uni da hostel done ay_d,1
haha idea bura nai tha wesy chalo nxt sae d,1
xactlycup apnaspoon apna sakoon apna dd,1
aisaaa hi hai,1
tere_lye bday gft mil gyad,1
koi issue_nai bhale mera cup use karen d_? ps beta meri bottle b har koi use_karta hai,1
pyar bharta h ase,1
kiaa pata behna shareef ho,1
shareef hi hai,1
tm dost ho yar keh skti ho,1
me idhr_b aisi_hun apko islamabad ka shak_pra rehtad_? ps,1
alhumdulilah ghalazat to nhi hai dd ddddd,1
hahahhaahaha me to kahin sa_b maesna ni_lgta tumhain pta_ni kaisay lgta,1
hahah hum bi apko sharif hi smjta han jnb,1
haha_haha haye mei war jaond ?_psd ?_psd ?_ps,1
tm mere kch kehne se_pehle he smjh jatay_ho sb,1
woh to masha_allah se meri qabliat hai,1
aur masoomiyat bhi,1
ye apke_liye likha_gaya hai area per square eench p,1
bhai main ek shareef insan hon p,1
yd h aik mohtrma hua krti ti shareeef tareeen bibi ddd,1
hahamtlb main shareef nazar_aati hundd,1
wyse main shareef hun bdd,1
no galazaat,1
wo to shukar hy aesi technology ai nh abhidd,1
shreef bcha,1
hn hn bohot shreef,1
bolti rahu but ma messani ni,1
bht saaaf or shareeef hun koi ghalazat nai d,1
wah_wah kia_soch pyi hy shahneezd,1
dair aye pr drust aye dd,1
hi rabi tu kitni famous hu gai,1
d meray shareef dost,1
hell true / waday tusi sharif hunh,1
han koi_shak ni,1
pyari baat,1
ap k_liay kuch khoobsurat bataindd ?,1
haha dafa karo aj_kal ghlazat sy_door he_rehta hun d,1
ap b shreef hain isi_leye mn apko shareef lgi ddddd,1
sahi kahadd,1
shabash khabeesni sahi boli aik_dum !_!,1
aur tm safai se kr jati ho dd dd d,1
saif tumhry kapry nusrat api pehan sakti hainnhi na tu phir,1
moqay py choka,1
sb hi mazay k hain,1
aja pilatidd,1
janeman sari chizaaay kehlaooo gi treat pr,1
dabba khali is liye ho_ga kyun k tum kha chuki ho_gi na ddd,1
sharab pin gy wd sheesha ddd sutty lgain gy jani sutty,1
ye ly or fkr na kr hm hain,1
peene wala bann aja tujhy sahi se coca_cola pilaoga,1
buri_bat achhy bchchy galiyan nhi dety,1
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kead,1
ap mahaan ho ap india chaly jao d_? ps,1
anum tum kini pyari ho,1
bas_bas bhan itna pyar na do samhala nae jay gaddd,1
aray is se b ziada don_gi ane to dod,1
achha krti ho,1
sae kha,1
allah ka shuakr hy ye tw hum per d,1
changi gal hy,1
hum girls hn isliye judge kr_skti hn_but as_a psychologist nhe_kr sktienajeeb bat hdd mem ko btaen gy hum kr_skti hn judge bcoz we_r girlsdd,1
tab main tumain btao ge na d aur bhe maza ae ga,1
ya ya they_have all rights to do_that with_out any regret d,1
hahhahaha kesy hm_apny points ko defend krty hy use hm bba krny k bad bhi lawyer bn skty hy d_? psd_? psd_? psd_? psd_? ps,1
wo to hm bne bnaye hain d dd,1
hehehe bs kbhi gharoor nhi keyadd,1
hahaha ap tu bhot masoom hain dd,1
don_t care djudge kro hamen or saro,1
our aja khedeye is zada cute dd,1
uper waly portion will always welcome themd,1
hahaha a jaoo yahe kam best haii ab ddd,1
or check_kr hamari predictions almost such b niklti then_d hahaha,1
or baray achay say yeh kaam hum anjaam detay haindd,1
bs dehko urdu agye parhna dda ?,1
hehehehe wo b_spcl logn koo judge kia jataa naa meshhhhiii proud to b_spcl onedddd,1
tmara pasandeedaaa kam d,1
fav kaam hai hummara yaar,1
hmri jugjmnt kaml ki ha nw ddddd,1
hahahaha bht hi enjoy karty thy hm gari me fiza k_sath b,1
o haan fiza hahha usy kdr bhool skty hahahha,1
hahahahahahahahaha chalo_chalo naiki aur pooch pooch dd,1
tu jahan mein wahan meri aziz,1
dd men samjha ap ne likha h ao_logon ko haj kratay hen lol,1
behtreen hogaya ddd,1
jao ja k hajj kro,1
ajao yah hmara fvrt kam ha d,1
hahaha hum to master hain is kaam mein dd,1
ajaoajj main mood_main houn,1
haa sahi gaalh aaah,1
ao un k gunah kum krty_hain ddd,1
aur unhy pak krty haindd,1
tbi wo white lgty hain dd,1
hmari tu prediction b sahe hoti_hai,1
fiqr na faqaa aish kr kaka,1
jaani grand party hogi i_am overexicted for_your daydda ? tu lagdi lahore ki cause tera mohn chetaa hath kalaydd,1
hahahah hawn kh dn giid tm b mera taraf_sy uncle_aunty ko shukriya kh dod,1
hahahahah idea axhw h api,1
jizroor mei apne aunty ka dilse shukriya_ada krti huu dddd,1
anty ko thanksss bolanty i_love youd thanku_so muchd,1
mera to salam bol pair chhuuuh anti ne mjhe jo btya tha hahahahahahahahaha,1
yes of course i_m thankful to your_parents namooni,1
aunty ka bhot_bhot shukriya krdena meri_trf se,1
phupo ko thanks_bolin meri_trf sy bht_bht ddddddd,1
uncle anti_ko dill ke gahriyoen sa thanks_bolna mere traf sa dddd,1
aunty_uncle ko yaad se thnku bolin_meri taraf_se dd,1
aunty k_lie meri_taraf se aik_chummi idhr aik_chummi idhr,1
woi naa khushaal gharanaaa hamradd,1
bht shukria rna m apni dil diyan gallan kisko sunatod,1
mairi taraf_sy uncle_aunty ko thanks_bolna,1
uncle_anty ko meri_taraf syyyh buht buht shukriaaaa kehna dd,1
hahahah ok_ok aur meri_taraf say be uncle_aunty ko shukriya keh_dena dd,1
apny_apny ami_abu ko mri_trf sy shukria bl dy,1
hahahaha_meri trf_se b uncle_aunty ka dhanaywaaddd,1
kancha item dia h inshortdddd,1
meri zindagi k tum anmol namonay d,1
hahaha dekha hamari importance d,1
dekh_lo beta hum namono k bagair tumahara guzara bhi nahi d,1
shukriya bht_bht aapke parents ka k mujhe yeh_gift diya unho ney dd,1
thank_u uncle_anty dd warna_mai incmplte rh jati dd,1
shukr hy ye namoona peuda kya thanks_to uncle_aunty ddd,1
by itkhtyr qahqa laga h myradddd tm b bst sy opr ho,1
hahahahahahahahahahhaha haso haso wanjo kri krtodd,1
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene ab tmhari b aari birthday unka_b krungidd,1
apni mama ko zarur thanks keh_dena from my side ddd loveeee bohat_cute ho tm,1
aunty ko bhttt bhttt shukriya kehna,1
hahahahaha bas_bas is khushi mai kal dilpasnd ki meethai le aana,1
humy k_parents ka shukriya krna_chahiye,1
uncle_aunty ko meri_trf se topon_ki salamiiidd,1
aunty ko mri_trf se thanku bol dena with kissy,1
its_a great pleasuredd,1
mn khudhh aungi specially,1
dill ki gehraion se dhanywaar d,1
d_thanks boldena meri_taraf se,1
thank_u bol apne parents_ko meri_taraf se d,1
hahah wai i owe a special thankyou party to uncle n aunty then_d,1
d ke la ma_ta tag kolibtw a_big thankooodddd,1
beshak dd kissi or k bas ka kaam nh ya dd,1
sana butt should_i tag_your mama d,1
tum na paida hti_to kya hta mra,1
mama ko zaroor thanks kahin dddddd,1
k momy daddy apka thankyu ddd,1
thank_u mommy daddy dddtu tau nawafil parh apne ami_abu k_liye iykwimdd,1
yeah cx they deserv akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay d,1
meri_taraf se bohat shukriya p,1
aunty specaily ap ka bht shukriyadd,1
antiii ne bht naik kaam_kiya da_?,1
i grateful to ur parents dd,1
thank_you so_much aunti d,1
main tou fakhar kar_rahi hun d,1
alhamdulillah a_?,1
mai shukar_guzar hn ami_abu ki /,1
special mili hon bai mein touuu,1
thankyou bolna ami baba ko ddddd,1
ama_ko thanx kehna apnidd,1
still u_r my buddy d,1
d aunty fari ko shukria_kehna d,1
tell aunty bauhat shukria d_? ps,1
haha i_love u so_much meri_jan,1
thanks_to parents,1
thankew sooo mch anty_dd,1
hahaha ma zaror karu g,1
hahaha thk_ha g zror krna,1
phupho thanku a_? i,1
thank_u jaan g dd,1
uncle_aunty ka shukriya_ada karna d p,1
uncle_aunty shukriya karna dd,1
lol same_to your_parents as well,1
bht hi na_shukari ho waisay,1
hahahhaa shokhi,1
shukriya shehzadi auntie,1
meri_maa ko khushi honid ?_ps,1
anyaa ye tmne kha tha mjheddda ? d,1
aunty ko shukria_kehna d,1
okay d,1
yaar apne mamaki id btaaa,1
chor tujhe unki nazar mn girana nhi chahti d,1
d_d bs dil se dil ko raah hoti_hai d,1
hahahahaha wah,1
uncle ko tag kron,1
tum kro or agla ghanta bad face to face thanks krna aya ga,1
robina aunty ka shukria adda kr_dun unhe add kr ke d,1
heer naqvi,1
hassan husnain,1
reply kia na,1
mjhay nahi tag_kia dd_? !,1
ye aunty ko dikha do please d,1
uncle_aunty ka num de,1
haniya khan,1
aunty i_love you a_? d,1
zaib usmand,1
hadia kh,1
atiya nisar,1
tmhari ami ko b d,1
haha razzaque bhai ko bdddd,1
me b cemnt agency walo ka bra shukrguzar ho hahahah,1
aunty bht_bht shukriyadday i,1
tumhari ama_ko na,1
tag them please !_! !_! dd,1
hahahaha main is main tumhain tag karnay_wali thi ddddd,1
jo chpairh wo maarain agay se uska kyad,1
anty uncle ko kehna zradd,1
you_too p,1
hate_u,1
seriously ajoobaa d,1
thank_you muchone of a kind hun afterall d_d,1
lol namoona nai anmol d,1
ddd apni amma ko prha dena plx ddd,1
lkn mea q,1
pass on_the message dd,1
hahaha ni ye meri_traf sy anti_ko dikhaodd,1
tmra knsa muun ni had,1
inbox kr dn gi,1
say my thanks_to uncle and aunty_ddd,1
love_you too my honey dd,1
naughty girl,1
hahhahahahha me bhi bolti hn rk,1
hahhahahha thanks fakhira parveen aqal deny k_liye,1
aunti add hi ni warna me unki shaan me qaseeday likhta dd,1
hahahaha_shukria ddd,1
aunty ko shukarya krdena,1
bus is main se ice_cream hata dod,1
miss those midnight snacks d,1
i haven t eaten any pizza and burger from_last two months and,1
ek hi baat haimai kron ya ap,1
soch dekho hamari kitni milti hai dd,1
kulsoom qureshi,1
motuuu mjhe bhi bhej mai bhi jag luga,1
dmy version of dietingdd,1
ye tmhary wali diet dd,1
buahhahaa yeahhh,1
we aren t haddi shah we re smart ddd,1
that_s what i do ddd,1
sta kho sa khwata nakige d,1
ri da,1
mc donaldzzzz dd,1
tu gym khaaaa,1
many kb pochaaa,1
uff esi diet,1
yumna too bhi_shamil hey,1
pemra complain ki hum kuch friends nesirf tension_na lein practicaly khud kuch krne se hi ho_ga,1
g bilqul aisy_he hai i agree_with u,1
bilkuk sahi_kaha faisal qureshi ka kush kadre bhater show ha,1
allahtaala ! ummat pe reham frmayaor ye lodhi jesey khabees logon k sharre sey naai nasal ko apni hifaazat meyn rakheyaameen,1
done d_thanks urdu safhaas admin for such initiative,1
agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,1
hum_sab ko milkar_pakistan aur islami aqdaar ki_hifazat karni hay musalmaan hony ka farz_ada krein,1
sahil lodhi ka kya ma_bap zimadar wo keu apni bchieo ko bhjty in ke ghart kidr hote,1
ni ye_galat bat h is me sahir_lodhi ka koe qasor ni h tv me achi baten b ati_han wo to ap_log catch ni krty,1
sahi_baat ha,1
bilkul darosat,1
bilkul_sahi,1
bilkul_sahi kahaaapa plus ey,1
bilkul_sahi aese morning_show ka bnd ho_jana hi bhtr he,1
bilco yh zaror hona_chahey,1
bilkul thehk,1
beshak zaror krwana chaye,1
agreed with attaria_qadria,1
sare comments bilkul_sahi hn m sb ki taed krti_hun aur sb k_sath hun,1
taab too hum khud unn koo saport karay hootay hai,1
yar ajkl sakht_pareshan hu rozgar ki fikr me bht_acha lga parh k,1
har taraqi ke_leye islam zrori ha,1
nhi_pta allah or us k rasool saw ki etaat kro,1
boht aalaa,1
jis na kha ha ci kha ha,1
prime minster ki_kursi chahye kitna_yaqeen nazm o zabt or lagan chahye hogi ! dd,1
allah ki raza mandi ke bagir koi_cheez hasil nahi ki jasakti chahe insan kitna hi yaqeen or nazmosabt ke saath hasil_karne ki_koshish karle,1
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,1
jis ne likha he bohat behtareen likha wah_wah,1
same thing k aik bunda chauti burai_ko sahi samajh k kerta hay to wo bari burai_ko asan samajh leta_hay bacho_ko roshnash karana apnay tahafuz k_lye buri_baat nahi,1
bilkul right,1
jis nay asbiat ki_taraf dawat_di us nay zulm ki_taraf dawat_di yehi asbiat to pehlay east pakistan ko kha gar ab baki ko kha rahi_hai d,1
ap hongi hum tou muhabbat bantnay walay hy we beleieve in equal rights,1
such kaha !,1
lol is page waly ki_dp dekh or bat kia karaha yeh,1
iss mein koi_burai nahi,1
iss mein koi_burai nahi hey,1
hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar_aap rokne_ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho_ko kisi pe ujagar mat kariye yeh allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,1
aik hadees hey moman kabhi laan_taan nahin_karta,1
ye follow nh kr_rha unki khushyon m shamil hua h_bs,1
bilawal allah tumain salamat_rakhey,1
namaz_qaim kro kiun_k namaz behayai sy rokti hai islam mein hukam k_sath reasoning bhi hai bss aqal mand logo k_liye he nishaniyan hai aur wohi samjhty hain inko,1
aur_islaam mein soor ka goosht khana haram hailehaza kiun_k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty aur_islaam mein hr wo cheez mana hai_jiska insaan ko_nuqsaan hai,1
wah zbrdst,1
thek allah_pak ka koi b hukam maslehat k_baghair nai,1
australia me shawal ka chand_nazar aa_gaya kal_eid hogi,1
pm nawazsharif ki nawasi mehar u nisa safdar aur raheel munir ka nikah masjid nabvi mein_munaqid pm samait ahal_e khana ki shirkat,1
sub se zaiyda mein jagah hazrat mosa a s ka_zikar aya hain,1
tareef kiya_huwa,1
har_musalman mard aurat ghulam aazad chotay baray par namaz_e eid se pehlay sadqa e fitr dena lazim_hai,1
ap sb ki shirkat ka_shukrya,1
mullah umar ne_afghan hukomat amp taliban muzakrat ki_himayat kar_di afghanistan se qabzay k khatmay_k liye muzakrat jaiz hen paigham,1
skin saf krny k_liye honey milk or dahi mix kijye is mixture ko mint k_liye skin pr laga lijye bad mai saf pani sy dho lijye,1
samnay_betha tha mere or wo mera na tha,1
allah ki naimaton main sy naimat hy or moqa mily or bach jana yeh,1
atc ne march_ko giriftar honewale zulficar mirza k guard ko_riha karne ka_hukum dedia,1
apny bhai ki_madad karo,1
islam musalmano k_ilam ka_naam nhe un k amal ka_naam hy yani islam bolny wali baat nhe karny wala kaam hy,1
main aaj se hi bicha doon us raah pe palken,1
cheze halos e dil k_sat karni chahey,1
raham karam dua,1
