description,length,rate
 is ka credit main apni scholl teacher ko bhi don gi jinhon ne mujhe athlete banne par aamadah kiya,100,1
 mera kaam nekniyati se mehnat karna hai aur wo main kar rahi hun,100,1
 meri karkardagi bhi sab ke samne hai aur mujhe selectors par etemad hai,100,1
 insha allah main bohat jald quomi team ki numaindagi karon gi,100,1
 jinhon ne meri ibtedai khamiyon ko khatam karne aur mujhe bahesiyat athlete sahi track par lane mein aham kirdar ada kiya,100,1
 is waqat m,100,1
 aslam aur imran khan mere coaches aur trainers hain jo meri karkardagi ko har guzatre din ke sath behtar karne mein madad farahum kar rahe hain,100,1
 abhi jab main russia mein hone wale world universities muqablon mein sharik thi to wahanmuqablon ka behtareen mayar dekh kar bari khush gawar heraat hoi,100,1
 har muqable mein hissa lene ke bad har athlete ko aik doctor dekhne aata tha aur usse check karta tha jab ke dosri saholaten is ke elawa thein,100,1
 ye esi cheizen hain jin se athletes ke etemad mein izafa hota hai aur wo mazid behtar karkardagi ki janib barhte hain,100,1
 left hand se khelne wale stylish batsmen ka tazkara ho to baat pakistan ke mayanaaz opening batsmen saeed anwar tak zaroor pohanchegi,100,1
 aamir sohail ke sath in ki jorhi ko majid khan aur sadiq mohammad ke bad pakistan ko milne wala behtareen opening pair qarar diya ja sakta hai,100,1
 tahum selectors in se mayoos na hue aur inhe dobara mauqa diya gaya jis se saeed anwar ne pora faida uthaya yahan tak ke jab saeed anwar retire hue to in ka shumar duniya ke suff e awwal ke cricketers mein hota tha,100,1
 rote hue aate hain sab hansta hua jo jaega,100,1
       wo muqaddar ka sikanderâ¦ janemann kehlaegaâ¦,100,1
  ned university se computer science mein engineering ki degree li aur cricket ki duniya fatah karne nikal khare hue,100,1
  phir  â  mein kcca ne inhe select kar liya bad mein inho ne ubl adbp lahore national bank aur pakistan ki numaiydegi ki,100,1
 saeed anwar aksar off stump ki taraf andha dhund andaaz mein jhapatâte the lekin inhe rokne ka koi faida nahi tha kyun ke yehi in ke liye runs banane ka sab se zarkhez ilaqa tha,100,1
 one day cricket mein jab ibtedai  overs ke liye fielding ke hawale se baaz pabandiyan aaiyd ki gai to saeed anwar fifty banane ke liye goya race lagaya karte the aur apni team ko aksar flying start diya karte the,100,1
 saeed anwar match winning innings khelne ki pori salahiyat rakhte the,100,1
 cricket ke bohat se qadamat pasand experts ne off stump ki janib yalghar karne ki saeed anwar ki kamzori par umgliyan uthai hain lekin sachi baat yeh hai ke jis batsman ne off stump ki bhol bhullaiyon par mabni gher yaqeeni duniya ko musakhir kiya,100,1
  jab wo off stump ki taraf ball ko dhondne nikalte to aisa maloom hota tha ke jaise bijli koond rahi ho,100,1
 saeed anwar ball ko aise maarte the jaise hathora maar rahe hon,100,1
 aksar saeed anwar ke bat se milaap ke bad ball bijli ki si tezi se boundary line ki taraf jati thi jise rokne ke liye kisi bohat je jeedar fielder ki zarorat hoti thi,100,1
  itna kisi hum asar batsman ne na kiya hoga,100,1
 in ka sab se barhi khobi he off stump ke samandar mein jaal daalna aur wahan se runs ke rang barange moti nikalna thi,100,1
 in ka sab se barha test score  runs not out raha,100,1
  saeed anwar ne  one day international matches mein ,100,1
 jo inho ne may  mein chennai mein khelte hue india ke khilaf banaya tha,100,1
 is yadgaar innings mein  fours aur  sixes bhi shamil the,100,1
 yeh saeed anwar ka din tha,100,1
  jab inho ne indian balling ka bharkas nikaal diya tha,100,1
 yeh one day international cricket ka sab se barha infaradi score bhi tha,100,1
   mein wisden  new saeed anwar ko  behtareen cricketers ki top of the list mein shamil kiya,100,1
 aaj kal saed anwar aur in ki wife ka ziyada tar waqt gharibon aur hajatmando ki khidmat o aâanat mein guzarta hai,100,1
 saeed anwar ke is safar ke dauran shaiyqeen cricket to aik stylish batsman se mehroom ho gae lekin bohat se zaroratmandon ko un ka masiha mil gaya,100,1
 pakistani cricket ki tareekh ka behtreen batsman all time grades mein kia numaya muqam ka hasiil aur pakistan cricket ko kia naya chehra dene wale javed miandad june  ko  karachi mein paida huwe,100,1
   cricket se bohot lagao hone ki wajah se in ki khawaish thi ka in kakoi beta cricketer bane,100,1
  javed miandad ko bachpan se circket ka mahoul mila,100,1
   saal ki umar mein javed miandad ka shumar ache cricketers mein kiya jane lage,100,1
  sindh under  ka fainal ki dono innings mein sanctuary bana kar inhone  selectors ki tawajah apni taraf mubazol karli,100,1
  iss ka bad kardar smar shild tournament mein inhone karachi wahites ki taraf se khelte huwe nathional bank ka kheliaf runs banaye,100,1
 javed miandad kay  musalsal umda kar kardagi ne rang dekhaya aur  ka world cup ka liye inhe team mein shamil karliya gaya,100,1
  world cup mein apna phela  match javed miandad  west indies ka khilaf khela aur  runs ki pur atemad innings kheli,100,1
  sri lanka ka khilaf khele jane wale match mein javed miandad do wickets hasil kien aur not out rehte huwe  runs banaye,100,1
  javed miandad ki kardagi dekhne walon ko mutasir kar gai aur inhein sixâs county ki second eleven mein jaga mil gai lakin apni umdah karkardagi ki badolat woh jald hi nai senior eleven mein shamil hogaye,100,1
  javed miandad ne is test ko jitane mein aham kirdar ada kiya,100,1
   javed miandad  asif iqbal ki hamrahi inning ka agaz kiya aur apne phele hi match mein  runs ka bara score bana dala,100,1
  isi sires mein unhone kia double sanctuary bana kar double sanctuary banane wale sub se kam umar player hone ka azaz hasil kiya,100,1
   mein  jab bharat ki team pakistan ka dore per ai to mulk mein cricket ki maqboliyat apne urooj per thi,100,1
  kia taweel arse bad dour riwayati hereef kia dusre may mad e muqabil the,100,1
  javed miandad ne bharat ka khilaf  faisalabad mein khele jane wale phele test mein  runs  banaye aur not out raha aur phir karachi mein khele jane wale tesre test mein javed miandad aik aur century banai,100,1
  asif iqbal ka sath miandad ki inning qabil e deed thi,100,1
  dono ne jis andaz mein bharti fielding ko mutashir kar ka runs samaete shayid hi aisi innings dobara kabhi dekhne mein na aye,100,1
  aik dilchaps baat ye hai ka duniya ko wicket ka darmiyan dorna sikhne wale ye dono khilari apne apne career ki akhri inning bharat mein khele aur dono hi iss inning mein run out  hi huwe,100,1
  se  mein pakistan ki team ne bharat ka doura kiya jis mein khilaryon ki khasosan super stars karkardagi achi na rahi,100,1
   air marshal noor khan ko pakistan cricket board ka sarbarah bana diya gaya unhon ne qaumi team ka caption javed miandad ko muqarar kardiya,100,1
  iss liye australia  ka khilaf  test machetes ki series mein javed miandad ne team ki qayadat ki aur pakistan  ne spiners ki madad se series jeet li,100,1
  iss ka bad melbrane test mein pakistan ne aik inning mein  runs banaye aur match jeet liya,100,1
  mein england ka doure mein imran khan ne team ki qayadat (captain) ki in ko miandad ka tawon hassil tha aur imran khan ka pure career mein hata ka world cup  mein bhi javed miandad iimran ko mouqe ki munasbat se mashware diyakarte thay,100,1
  iss liye in ko miandad ka sath le kar kamiyabi hasil huwe,100,1
   javed miandad in dino apne career ka urroj per thay,100,1
  mein bharat ka khilaf hyderabad test mein  javed miandad ne  runs banaye imran ki qayadat (captain) mein unhone test matches mein phele session  mein  runs banaye jin mein  centuries shamil thi,100,1
   se  mein zaheer abbas  ne new zealand  ka doure mein captaini wapas lene se inkear kardiya to aik bar phir captainship miandad ka pass wapas agai,100,1
  iss doran miandad ki purzour sifarish per waseem akram new zealand ka doure ka liye muntakhib huwe to waseem akram ate hi dunedin test  mein  wickets le kar shurat hasil karli,100,1
  mein sharjah mein hone wale australia  cup ka final ki akhri ball per javed miandad ne chetan sharma ko six mar kar pakistan ko fatha diladi,100,1
  iss yadgar tareekhi chahke ki badolat na sirf javed miandad ne pakistan ka riwayati hareef se mini world cup ki shikast ka badla liya bal ka bharat ko nafsiyati  tour per aisa majroh kiya ka iss ke  bad bharat ki team kabhi pakistan ki ankh mein ankhein dal kar na dekh saki aur bain ul aqwami muqabalo (international cricket ) mein pakistan ka palra bharat ka moqable mein hamesha bhari raha,100,1
   ka world cup ka bad imran khan retire hogaye to javed miandad ki jaga captain bane magar jald hi tareekh (history) ne kia bar phir khud ko dhuraya,100,1
         retire hone ka bawajud cricket  se javed miandad ka taluq toota nahi  se  mein unhone ne pakistan team ki coching ki aur aj kal pakistan cricket board ka director general ka tour per khidmat unjam de rahe hain,100,1
  javed miandad  ne kahi munfarid records apne naam kiye woh musalsal  world cup mein hissa lene wale wahid khilari hain aur in mudad  chand  khilariuon mein se kia jin ki test matches  mein euns banane ki average kabhi  se niche nahi ai  mein imran khan aur hanif mohammad ka sath inhein cc ka hall of fame mein shamil kiya gaya,100,1
 football world cup  brazil mein munaqid ho raha hai aur brazil bilashubah football se diwangi ki had tak muhabat karne walon ka mulk hai,100,1
  jahan football dekhna aur kheelna aik abdat ki se ahmiyat rakhta hai,100,1
  lehazah tawaqa hai ke teams ke mabeen zabardast marka aarai ho gi,100,1
  aaiye kurah e arz ke is aham tareen kheel ke mah e rawan mein hone wale sab se bare almi event ke bare mein jante hain,100,1
 mojudah football world cup tarteb ke lehaz se beaswan (th) event hai,100,1
  jis ke ineqad ke leye kai mumalik khuwahishmand the,100,1
  tahum qura e fal brazil ke naam nikla,100,1
  is elan ke taqreban aik saal bad  march  ko south american football assosiation ke mutazamin ki janib se elan kiya gaya ke world cup  ke muqable brazil mein munaqid kiye jayein ge,100,1
  is peshraft ke baad  december  âbrazilian football confederationâ ke us waat ke saddar âricardo teixeiraâ ne bazabta tor par muqabalon ke ineqad ki hami bharte howae brazil ko fifa ke samne bator umeedwar mulk pesh kia,100,1
  tahum is doran colombia ne  december  ko elan kiya ke wo bhi muqabalon ke ineqad ke leye bator umeedwar is muqabale mein dakhil ho raha hai,100,1
  is tarah taqreban  mah ki mushawarat ke bad fifa ne  october  ko elan kiya ke chun ke  ke football world cup ke ineqad ki dor mein brazil ke elawa koi mulk sharik nahi hai lehaza  ka almi cup brazil mein munaqed kiya jaye ga,100,1
 football world cup  ka mezban mulk mutakhib hone ke bad almi satah par is baat ka wawela kiya gaya ke brazil iqtesadi tor par is qabil nahi ke wo in muqabalon ke leye almi mayar ke stadiums tameer kar sake,100,1
 tahum brazil kyun ke football ke dewanon ka mulk hai lehaza isjazbe ko samne rakhte howae brazilian football assosiation ne stadiums ki tameer ke leye din raat aik kar deye,100,1
  tahum fifa ne in sheharon ki tadad ko  se  tak mehdod karne ka mashwarah diya jis ke jawab mein brazilian football confedrationke us waqat ke saddar ricardo  teixeira ne muqabalon ke leye sheharon ki tadad  mutaiyan kar di,100,1
   may  ko muqabalon ke mezban sheharon ka elan karte howae unhon ne waze kiya ke ye wo shehar hain jin ke zarye pore mulk mein football ke tamashai muqabalon se mehzoz ho saken ge,100,1
 guzishta saal december tak naye stadiums ki tameer aur purane medanon ki tazeen o araish  ke leye brazil football assosiation aur brazilian hukumat ne  billion dollor ke akhrajat ka takhmina lagaya tha,100,1
  lekin brazilian hukumat ne naye stadiums ki tameer aur degar tamirati kaamon ka silsila jari rakha,100,1
  stadiums ki tameer ke elawa sarkon ki tameer tram service railway line airports aur degar tamirati kaamon ke akhrajat ke leye mashhor maliyati adare bloomberg ne world cup ke doran majmoi tor par ,100,1
  is ke bawajod world cup par ane wale akhrajat aur stadiums ki tameer ke leye rihaishi elaqon ko khali karane par brazil ke bare sheharon mein zabardast muzahire kiye gaye aur ye silsila jari hai,100,1
 mohammad hafeez: senior team ki zarorat hote hain isi ke sath meri koshish hoti hai ke youngsters ko moqa don ta ke wo t se one day phir test team mein jagah banayein aur team ke kamm aate rahein main ne  saal mein  se  nojawanon ko promote kiya t mein mohammad irfan zulfiqar babar umar amin haris sohal raza hassan aur sohab maqsod ko laya nasir jamsheed aur ahmed shehzad ka come back karaya aaindah bhi ye silsila jari rakhon ga,100,1
  pichle dinon stain ko kaamyabiyan milein mustaqbil mein mamla ulat ho sakta hai ye nahi samajhna chaheye ke stain ka samna karte howae mujhe koi dushwari hoti hai,100,1
 mohammad hafeez: cricketers umoman zehani tor par mazbot shakhsiyat ke malik hote hain isi leye mushkil conditions mein bhi acha kheel peh karte hain zati tor par mujhe to zarorat nahi lekin agar board samajhta hai ke team ke ese sessions hone chaheyein to main usse bora nahi samjhon ga,100,1
 mohammad hafeez: meri ray ke mutabiq kheelon ko siyasat se alag rakhna chaheye bharti league mein humare siwa pori duniya ke cricketers kheel rahe hote hain is mein pakistani khilariyon ko bhi moqa dena chaheye kai baras se esa ho raha hai ab board masle ka hal soche ipl mein muqable se bharpor cricket hoti hai duniya ke maroof khilariyon ke sath aap ko dressing room share karne ka moqa milta hai kolkata knight raiders ki janib se hissa leya to ricky pointing aur sorove gangoli jese seniors ke sath the un se player sekhta bhi hai bari tadad mein crowd ki mojudgi kheelna ka lutf barha deti hai mujhe chance mile to event mein shirkat kar ke khushi mehsos karon ga,100,1
  mulk se bahar kheelne ke sabab saal mein humein kai mah ahal e khana se dor rehna parta hai jo asan nahi hota is ke bawajod team ne apni karkardagi ka mayar barqarar rakha hai,100,1
 ahmed nadeem qasmi iss waqt ke badshahi masjid ke imam maulana ghulam murshid ke qaribi aziz they jo ahmed nadeem qasmi lahore laye aur unhien iss waqt ki shahar ki adbi shaksiyat sufi ghulam mustafa tabassum se motaraf karwaya,100,1
  se  ka arsa intehai gurbat aur tang dasti ka zamana tha lakin unhi dino urdu ke kai maroof shaeron aur sahafyon se shanasai hasil hui kirshan chander aur minto se dostana marasam paida huya,100,1
 ki ashat ke bas unhien  mein moqadme ka samna kerna para unhon ne  mein adab latif ki adarat chordi issi baras unka majmua kalamï¿½eeeâ¬ï¿½eee jalal o jamalï¿½eeeâ¬ï¿½eee shae hua iss se pehley app ka shari majmua dharkenï¿½eeeâ¬ï¿½eee aur tarajum ka aik majmua shae ho chuka tha,100,1
 issi baras radio pakistan peshawar mein station director ke bahot israr per wahan secretariat riter ke tor per molazim ho gae  mein unhon ne radio pakistan peshawar ke leyeh bahot se qaumi nagme mili geet aur hub e watan ke mozu per fitchur aur darame tahreer ke aur tera aur chouda august ki darmiyani shab ko unhi ka oikha hua auwaleen qaumi nagma radio pakistan se nashar hua,100,1
 taraqi pasand adebon ki anjuman ke leay din rat kam kea aur anjuman ki pakistan shakh ke jeneral secretary muntakhib huey,100,1
  mein unhon ne apney adbi resalaï¿½eeeâ¬ï¿½eeefanoonï¿½eeeâ¬ï¿½eee ka ajra kea jo ajj tak shae hota hai,100,1
 adbi resalon ke sath sath woh sahafat se bhi wabista rahey woh kuch arsa imtiaz ali taj ke resaley ï¿½eeeâ¬ï¿½eeephool aur tahzeb nuswanï¿½eeeâ¬ï¿½eee se wabista rahey aur bad mein taraqi pasand urdu ikhbar ï¿½eeeâ¬ï¿½eeeamrozï¿½eeeâ¬ï¿½eeeke leay fakahi colum likhtey rahey colum nigari mein abdul majed salk ko apna ustad mantey they,100,1
 ahmed nadeem qasmi ka colum punch daria ke anwan se tawel arsa tak amroz mein shae hota raha,100,1
 amroz ke bad ahmed nadeem qasmi roznama jang aur bad mein karachi se nikalney waley roznama huriat mein colum likhtey rahey wafat ke bad se pehley tak woh roznama jang mein colum likh rahey they apni zindagi ke akhri  saal woh lahore mein adbi adara majlis taraqi adab ke director rahey,100,1
 ahmed nadeem qasmi ne  se shayari aur afsana nigari shuro ki woh urdu adab mein taraqi pasand tahrek se wabasta huye,100,1
"   mein app ne haj ki sadat hasil ki aur bad e azan kai bar umrey ke liye bhi gaye  mein kahanyon ka akhri majmua ""koh paima"" shaya hua issi baras app ki shayari ki akhri kitab ""baseet"" bhi shae hue",100,1
  mein umer bhar ki adbi khidmaat ke silay mein hukumat pakistan ne nishan e imtiaz deya,100,1
 mohammad hafeez: main aur misbah  baras se aik sath kheel rahe hain hum mein achi understanding ho chuki hai isi tarah shahid afridi ke sath kheelte howae bhi  se  saal tak ho chuke hain lehaza achi dosti hai misbah ne meri na main ne misbah ki kabhi bhi beja himayat ki hum hameshah merit par fasle karte hain hum mein kabhi kisi baat par ikhtalaf nahi howa albata mazi mein jab is hawale se baatein ki gaeinto humein aik sath press conference kar ke wazahat deni par is qism ki baaton ka humare ahal e khana par bora asar hota hai jese dora south africa mein aik din main aur misbah aik sath bethe chai pe rahe the ke meri ahliya ka phone aaya unhon ne mujhe se pohcha ke ï¿½eeeâ¬ï¿½eeekia aap ki misbah bhai se larai hoi haiï¿½eeeâ¬ï¿½eee mera nafi mein jawab sun kar,100,1
 mohammad hafeez: mujhe rameez raja ne ye laqab diya aur tv comentry se shayad ye awam tak pohancha main chunke ahmaqana baatein nahi karta is leye professor kaha jata hai aur mujhe is par bora nahi lagta,100,1
 mohammad hafeez: main is zimedari ko behad enjoy kar raha hun pori team ki support mujhe hasil hai jab ke management bhi hosla afzai karti hai isi wajah se ache nataij ache nataij samne aate hain,100,1
 mohammad hafeez: main kisi ki soch par pabandi nahi laga sakta magar esa bilkul nahi hai main  formats ka number one all rounder aur har conditions mein acha perform karne ka ahal hun agar aik do teams ke khilaf record acha nahi to ye ghair mamoli baat nahi main ne new zealand aur england mein bari innings kheelein south africa mein badqismati se bara score na bana saka magar baz innings mein behtar kheel pesh kiya tha,100,1
 likhne likhane se hameed nizami ko shuru se hi dilchaspi thi,100,1
 aap ki yehi salahiyat  mein aap ko islamia college ke magazine ï¿½eeeâ¬ï¿½eeecrescentï¿½eeeâ¬ï¿½eee ka naib mudeer banwane meinmadadgar sabit hoi,100,1
 jab qarardad e pakistan manzoor hoi to un dinon hameed nizami ke halke phulke mazamin adbi jaraid ï¿½eeeâ¬ï¿½eeehumayonï¿½eeeâ¬ï¿½eee ï¿½eeeâ¬ï¿½eeeadbi duniyaï¿½eeeâ¬ï¿½eee aur ï¿½eeeâ¬ï¿½eeesheraza mein shaya ho rahe the,100,1
 ï¿½eeeâ¬ï¿½eee un ke likhe howae afsane aur qalmi khake adbi halkon mein aik khas shuhrat rakhte the lekin un ki manzil afsana aue khaka nigari na thi,100,1
  purane waqton mein jab hukumat kisi khbar ki zamanat zabt karti to mali nusan awam ke chande se pora kiya jata lekin  mein nawa e waqat ki dobara zamanat zabt hone par bhi hameed nizami ne chande ka kashkol uthana quomi gherat ke munafi tasawor kiya aur apne mali wasail se zar e zamanat dakhil karaya,100,1
 qayam e pakistan ke baad har hukumat ki ghalat policyon ko hadaf e tanqeed banate rehna un ke akhbar ki policy aur un ki zindagi ka maqsad thera aur wo intehai jurat aur bebaki se azadi e sahafat aur jamhuriyat ki jung larte rahe,100,1
 un ki haq goi o bebaki ki padash mein nawa e waqat ko kai bar bandishon ka samna karna para magar un ke paye istaqlal mein larzish na ai,100,1
  january  ko jab punjab assembly tor kar governor raj nafiz kiya gaya to hameed nizami ne mulk ke mafad mein general gracey ko pakistan ke commander in chief ke uhde se subogdosh karne ka mutalba kar deya,100,1
 hameed nizami ne ghabhara kar hawasbakhta hone ke bajaye aik naye roznama ï¿½eeeâ¬ï¿½eeejihadï¿½eeeâ¬ï¿½eee ka aghaz kar deya jo nawa e waqat ki tarah logon mein bohat maqbol howa,100,1
 bila akhir hameed nizami ki koshishein rang laein aur june  mein nawa e waqat ka deceleration bahal ho gaya,100,1
 aap ne ayoub khan ke mashal law ke khilaf bhi sada e haq buland ki,100,1
  mein pas az marg hukumat e punjab ne aap ki khidmat ke etiraf mein aap ko ï¿½eeeâ¬ï¿½eeetehreek e pakistan gold meddleï¿½eeeâ¬ï¿½eee se nawaza,100,1
 lekin nisaab se charhti aur shaiyri se ishq,100,1
  saal ki umar se mashq e sukhan shuru ki,100,1
 ibtedah mein jigar murad abadi se mutasir the aur rewayati ghazlen kehte the,100,1
 ibtedah mein raghib murad abadi ke samne zaanoey tilmiz tey kiya,100,1
 sadar ayub khan ki ki fauji aamriyat ke khilaf awami jalson aur mushaiyron mein khul kar inqelabi nazmein parhe,100,1
 jab  mein ayub khan ne naya dastoor diya to murree ke aik barhe mushaiyre mein habib jalib ne apni mashoor baghiyana nazam,100,1
 apni makhsoos tarz mein tarannum se parhi aur logon ne in ke har misrey ka sath diya,100,1
 jab general yahya khan ka martial law laga to is ke khilaf bhi jalib ne nara e mastana buland kiya,100,1
  mashraqi pakistan mein fauji karwai ke khilaf inho ne aik nazam mushayare mein parhi jis ke ibtedai misrey ye the,100,1
 general zia ul haq ke bare mein in ki mashoor nazam ka aik shair kisi tarha bahar aa gaya,100,1
 is par inhe mulk ki bad tareen jailon main se aik mianwali jail mein bhi kuch arsa rehna parha lekin inho ne apne awam dosti ke usool se kabhi rogardani nahi ki jis ke aeteraf mein inhe  december  ko karachi press club ne apna life member banaya aur in ke aezaaz main shandaar jalsa munaqid kiya,100,1
  is ke ilawa inho ne filmi shaiyri mein bhi khoob taba aazmai ki maslan raqs zanjeer pehn kar bhi kiya jata hai ( zarqa ) aur zulm rahe aur aman bhi ho kya mumkin hai aesa bhi ho ( ye aman ),100,1
 habib jalib ki siyasi shaiyri aaj bhi aam aadmi ko zulm ke khilaf bebaak awaz uthane ka sabaq deti hai,100,1
 november  main jab us waqt ke hukmaran general parvez musharraf ne amergency lagai to musharraf ke siyasi mukhalfeen ke jalson main habib jalib ki shaiyri dilon ko garmane ke liye parhi jati thi,100,1
  koi nojawanon mein koi khawaten mein aur kisi ko umar rasidah logon ki sanad e pasandedgi mili,100,1
 baz fankar maqboliyat aam hasil na kar sake lekin alla elmi o adbi satah rakhne walon mein maqbol howe,100,1
  ghalib un shura mein se hain jin ko har tabqe ne sar aankon par bethaya lekin ghalib ki nudrat aur buland khayali ko bayan karne ke leye ye kafi nahi kuch aur chaheye wossat mery bayan ke leye ap yun samajh len ke ghalib na hote to koi aur hota lekin wo ghalib na hota,100,1
 mirza ghalib ne bara pur ashob daur dekha jo saltanat e mughliya ke zawal e akhir aur angrez ke mukamal tasalut ka zamana tha,100,1
 mirz ghalib ki zati zindagi bhi masaib se pur rahi,100,1
 ghalib ki shakhsiyat mushkil dor mein parwan charhi,100,1
 mirza ghalib ki shayari ghalib ki shakhsiyat se photi hai,100,1
  mirza ghalib ne jis pur ashob daur mein hosh sambhala us ka pora adrak mukamal dukh aur insanon par jo biti us ka bayan un ki shayari mein milta hai,100,1
 ghalib ki shakhsiyat bayakwaqat admiyat aur insaniyat ke anasir se malamal thi,100,1
  shidat e ahsas aur halat ke jabar se mehfoz rehne ka un ka apna tariqa tha aur ye zindagi se farar nahi balke us ka samna karne ke liye tha,100,1
 ghalib ne darasal urdu ko zinda rakha hai,100,1
 is zaban mein wo bayan kiya hai jis ki is se qabal nazir nahi milti,100,1
  behad sanjidah mehsosat afkar aur khayalat ko yun bayan karna ke goya ye mere dil mein hai  ghalib ka kamal hai,100,1
 jab hum ajz e bayan ka shirak hote hain to ghalib ka koi sher humari madad ko ajata hai aur humare dil mka bojh halka kar deta hai,100,1
  is ki wajah ye hai ke saqawat apni batni taqat par zindah rahti hai koi kisi ko majbor nahi kar sakta ke ï¿½eeeâ¬ï¿½eeeye zaban apnao ya ye lebas pheno,100,1
  ghalib aaj bhi is liye pasandedah hain ke wo un mehsosta ko jo hamari giraft mein nahi ate fankarana aur takhliqi chabuk dasti ke sath bayan kardete hain,100,1
 ghalib ki infaradiyat aur sheri azmat ka sabot ye bhi hai ke un ki ungli tham kar kitne log bare shair to ban gaye lekin kisi ko un ki tusi qarar nahi deya ja sakta kyun ke wo apni jagah mukamal shayar hain aur un ka kamal un par khatam ho gaya,100,1
  jo shakhs apne jazbe ahsas fiqar o khayal mein jitna shaded aur khara ho ga is ki tehrir o taqrir isi qadar mosar ho gi,100,1
  ghalib ki shairi mein esi shidad e ahsas pai jati hai jo marizana nahi is se qonotiyat ka izhar nahi hotabalke ye fikar aur khayal angez hai,100,1
 un ke har sher mein jahan e mani poshidah hota hai,100,1
 asal mein takhliq ka matlab hi ye hai ke jo nahi tha is ko banaya jaye,100,1
 duniya mein koi esa fankar nahi howa jo infiradiyat aur naye pan yani originality ke fuqdan ke bawajod bara ban gaya ho,100,1
 har fankar ko create ya recreate kana parta hai,100,1
 mirza ghalib ne shayari mein pora slob hi takhliq kar dala,100,1
 humein ese tarz e shayari se roshanaz karaya jis ki phele koi nazir nahi milti,100,1
 ghalib ki shayari part dar part aur teh dar teh kholti chali jati hai,100,1
 is ki satahein itni ziyadah hain ke aik janib to un ka sher aam qari ko chota hai dosri taraf aala adbi zauq rakhne wale is ki gehri manuyat kea sir ho jate hain,100,1
  goya sabhi sar dhunte hain mushkil pasandi un ka mizaj sahi lekin sher ki manuyat aur is mein mujod ï¿½eeeâ¬ï¿½eeeshairiï¿½eeeâ¬ï¿½eee is par havi hoti hai,100,1
  falsafyana mozuat  ko unhon en jis aasani se sheri takhliq ke qalb mein dhala is ki misl na un se phele thi na un ke bad mein un ki shairi ki afaqiyat aur lafani hone ke leyeyehi dalil kafi hai ke wo aah ki nasal mein bhi maqbol hain,100,1
 ye nasal kalam e ghalib ki is manuyat ko pa rahi hai jo is ke sciencesi dor ki zarorat hai kyun ke ghalib ki fikar darasal fitrat ke qarib tar aur sciencesi hai chunacha ye baat herankun nahi honi chaheye ke ghalib kisi sarkari sarparasti ke bagheir maqboliyat mein tamam shora se aage hain,100,1
 ghalib ke kalam se shora ko ye sekhna chaheye ke  apne dork o batin mein yun sachai se ameza aur mehsos kiya jaye ke khayal sheri takhliq ban kar baramad ho aur is mein kahein masnoi pan ka shuba tak na ho,100,1
 yehi shairi na sirf apne dor ki tasveer hoti hai balke mustaqbil mein bhi zinda rahti hai,100,1
 leki is ke leye taqatwar takhliqi shakhsiyat ki zarorat hoti hai kyun ke ye nihayat mushkil kaam hai,100,1
 ghalib hama jahat takhliqi fankar the,100,1
 mirza ghalib ki shakhsiyat bari aur ghair mamoli thi,100,1
 yehi wajah hai ke un ka izhar ghair mamoli hota tha,100,1
  maslan un ki shairana azmat nasar mein un ki barai ko kam nahi kar sakti un ki tamam hi tehriron mein wit jhalakti hai lekin nasar nigari mein ye kamal numaya hai,100,1
 un mein nasar nigari ka khudadad johar tha,100,1
  jis tarah un ki shairi anokhi hai un ke khotot bhi nasar nigari ken aye dor ka aghaz hain,100,1
 un ke tarz e tehrir ne khat nawisi ko bilmushafa goftogo bana deya,100,1
 ghalib ne gehre dukh ko mazah aur zarafat ki dhal ke zarye khud par hawi hone se roka,100,1
 un ke khotot is ki waze missal hain,100,1
 zarafat ke makhsos andaz ne un ke khotot ko dilchasp nasar nigari bana deya,100,1
 ghalib ki takhliq taqat ka sab se bara sabot ye hai ke humari tehzib aur humare shaor par ghalib ka asar ghalib hai,100,1
 ghalib par bohat likha gaya hai aur likha jata rahe ga haqeeqat to ye hai ke is azeem fankar par jitna likha jaye kam hai,100,1
 tadris ka shuba chorne ke bad aap ne likhne ko apna mustakil zariya e mash banaya aur kai novel aur afsanwi majmoye likhe,100,1
 aap ka daira e tehrir sirf baron tak hi mehdod na tha balke bachon ke leye bhi aap ne bohat si kahaniyan likhein,100,1
  is ke elawa aap ne apni sawanah umri par mabni teen kitabein marbaka memories of my childhood aur dairy of selma lagerloflik hein,100,1
 aap ki aalmi khidmat ka har satah par eteraf kiya gaya,100,1
  mein selma lagerlof ko adab ka nobel prize mila aur  mein swedish academy ne aap ko apna rukun muntakhib kiya,100,1
  selma lagerlof bayak waqat mahir e taleem novel nigar kahani kar shayar sawanah nigar khud nosht nigar aur drama nigar thein,100,1
 selma lagerlof se phele swedish adab mein romaniyat ka dor dora tha,100,1
 aap ne mulki adab ko nai jahton se roshanas karaya,100,1
 selma lagerlof ke novel aur kahaniyon ke mutarajim duniya ki kai zabanon mein ho chuke hain,100,1
 urdu ke mashor afsana nigar khwaja ahmed abbas ka afsana ï¿½eeeâ¬ï¿½eeeababeelï¿½eeeâ¬ï¿½eee selma lagerlof hi ki aik kahani se makhoz hai,100,1
 selma lagerlofne apne mulk ki lok kahaniyon ko aik naye andaz aur mufarid tanazur mein pesh karne ki tarz dali,100,1
 selma lagerlof ka tarz e tehrir behad marsa aur dil nasheen tha,100,1
